-111.65708117,-0.77291543
-111.86436483,-1.49226991
-112.07175631,-2.21159336
-112.27946476,-2.93082528
-112.48739429,-3.64999337
-112.69522626,-4.36918969
-112.90357257,-5.08823701
-113.11228802,-5.80717749
-113.32117025,-6.52606940
-113.53076516,-7.24475385
-113.74063583,-7.96335789
-113.95043138,-8.68198382
-114.16030047,-9.40058828
-114.37060022,-10.11906679
-114.58093809,-10.83753429
-114.79171279,-11.55587350
-115.00331760,-12.27396884
-115.21506883,-12.99202095
-115.42681104,-13.71007572
-115.63886505,-14.42803844
-115.85145990,-15.14584125
-116.06428988,-15.86357431
-116.27706162,-16.58132486
-116.49044406,-17.29889367
-116.70472762,-18.01619423
-116.91874641,-18.73357380
-117.13324690,-19.45080929
-117.34848233,-20.16782483
-117.56393936,-20.88477367
-117.77936017,-21.60173341
-117.99507949,-22.31860344
-118.21142262,-23.03528537
-118.42825739,-23.75181877
-118.64514266,-24.46833701
-118.86289130,-25.18459296
-119.08133654,-25.90063717
-119.29969431,-26.61670787
-119.51816365,-27.33274462
-119.73733722,-28.04856601
-119.95729219,-28.76414780
-120.17752209,-29.47964495
-120.39763029,-30.19517973
-120.61862955,-30.91043934
-120.84024071,-31.62551004
-121.06162195,-32.34065179
-121.28361285,-33.05560463
-121.50663463,-33.77023643
-121.73039026,-34.48463893
-121.95429241,-35.19899543
-122.17814914,-35.91336618
-122.40240910,-36.62761048
-122.62742673,-37.34161640
-122.85312791,-38.05540657
-123.07920824,-38.76907683
-123.30599621,-39.48252228
-123.53343446,-40.19576099
-123.76107530,-40.90893493
-123.98890949,-41.62204655
-124.21745863,-42.33493209
-124.44688851,-43.04752864
-124.67685637,-43.75995401
-124.90695593,-44.47237149
-125.13691060,-45.18468746
-125.36908053,-45.89659954
-125.60201055,-46.60816427
-125.82800000,-47.32013938
-126.08011319,-48.03134962
-126.28744534,-48.74110023
-126.49793334,-49.45379880
-126.77227015,-50.17787303
-126.88426590,-50.90502474
-127.08906816,-51.63064703
-127.27366506,-52.35568269
-127.45784598,-53.08078746
-127.64669807,-53.80553238
-127.83588056,-54.52975530
-128.02611049,-55.25381475
